0,2_kings_1_10,anger
1,1_samuel_19_21,surprise
2,1_chronicles_21_21,neutral
3,song_of_solomon_2_4,joy
4,hosea_4_4,disgust
5,luke_13_7,anger
6,leviticus_10_10,neutral
7,lamentations_1_1,sadness
8,jeremiah_42_3,fear
9,numbers_1_48,neutral
10,2_samuel_3_38,sadness
11,1_kings_9_15,neutral
12,matthew_18_27,joy
13,1_samuel_13_20,neutral
14,psalms_130_7,joy
15,job_13_27,fear
16,deuteronomy_2_32,anger
17,isaiah_30_29,joy
18,job_37_24,fear
19,psalms_145_21,joy
20,2_chronicles_9_12,neutral
21,acts_11_18,surprise
22,john_3_19,disgust
23,numbers_12_11,sadness
24,psalms_102_4,sadness
25,galatians_3_15,neutral
26,ezekiel_30_10,anger
27,1_chronicles_16_22,neutral
28,revelation_15_7,anger
29,proverbs_24_21,fear
30,jeremiah_22_12,sadness
31,luke_12_43,joy
32,lamentations_1_7,sadness
33,luke_18_35,sadness
34,job_6_29,anger
35,1_corinthians_15_34,disgust
36,nehemiah_7_11,neutral
37,proverbs_6_33,shame
38,proverbs_23_25,joy
39,psalms_119_13,joy
40,psalms_147_4,neutral
41,acts_4_35,joy
42,acts_24_22,neutral
43,psalms_106_39,disgust
44,colossians_1_27,joy
45,exodus_28_42,neutral
46,isaiah_48_22,sadness
47,deuteronomy_31_26,fear
48,luke_19_38,joy
49,ezekiel_43_26,neutral
50,esther_9_6,anger
51,isaiah_2_20,disgust
52,job_38_29,surprise
53,romans_6_22,joy
54,mark_14_72,sadness
55,1_samuel_17_22,joy
56,deuteronomy_4_45,neutral
57,2_corinthians_12_13,sadness
58,2_kings_2_2,joy
59,numbers_7_44,neutral
60,james_3_5,anger
61,2_samuel_9_6,neutral
62,jeremiah_25_31,anger
63,numbers_7_54,neutral
64,genesis_1_16,joy
65,1_timothy_6_1,neutral
66,genesis_4_3,neutral
67,ezekiel_30_12,fear
68,ezekiel_27_29,sadness
69,2_chronicles_13_11,anger
70,jeremiah_38_10,joy
71,luke_1_72,joy
72,numbers_5_30,anger
73,john_5_29,fear
74,psalms_106_12,joy
75,mark_13_23,fear
76,leviticus_25_7,neutral
77,2_chronicles_5_3,neutral
78,ezekiel_30_8,anger
79,numbers_3_16,neutral
80,joshua_10_38,anger
81,numbers_20_9,neutral
82,nehemiah_11_31,neutral
83,jeremiah_41_8,fear
84,proverbs_21_15,joy
85,genesis_49_21,joy
86,luke_19_48,surprise
87,genesis_19_33,disgust
88,jeremiah_29_30,neutral
89,exodus_12_43,neutral
90,romans_10_8,joy
91,2_chronicles_29_24,joy
92,psalms_37_26,joy
93,job_18_7,sadness
94,matthew_3_2,neutral
95,ezra_2_30,neutral
96,ezekiel_5_14,anger
97,ezekiel_17_23,joy
98,isaiah_42_19,disgust
99,psalms_5_4,anger
100,1_chronicles_26_14,neutral
101,job_7_8,sadness
102,psalms_116_14,joy
103,leviticus_19_18,joy
104,jeremiah_16_13,sadness
105,deuteronomy_4_44,neutral
106,matthew_27_39,disgust
107,1_chronicles_26_4,neutral
108,deuteronomy_8_13,joy
109,2_chronicles_24_19,anger
110,ezekiel_17_9,sadness
111,numbers_2_1,neutral
112,mark_15_21,sadness
113,ezekiel_29_10,anger
114,zephaniah_2_11,fear
115,joshua_2_18,fear
116,revelation_6_3,surprise
117,1_samuel_28_22,joy
118,john_10_33,anger
119,leviticus_4_17,neutral
120,numbers_26_58,neutral
121,matthew_9_36,compassion
122,amos_1_3,anger
123,exodus_34_13,anger
124,job_29_4,sadness
125,ezekiel_33_18,fear
126,ecclesiastes_1_15,sadness
127,jeremiah_44_22,anger
128,john_14_19,joy
129,hosea_1_11,joy
130,luke_8_41,fear
131,judges_7_10,fear
132,1_kings_21_28,neutral
133,job_29_14,joy
134,2_chronicles_25_26,neutral
135,titus_3_12,neutral
136,daniel_6_20,fear
137,romans_1_3,joy
138,exodus_12_34,neutral
139,deuteronomy_23_14,joy
140,2_peter_2_1,anger
141,joshua_2_21,neutral
142,psalms_143_11,fear
143,proverbs_11_7,sadness
144,jeremiah_19_6,anger
145,1_samuel_19_7,joy
146,jeremiah_6_24,fear
147,1_chronicles_25_22,neutral
148,genesis_46_23,neutral
149,1_samuel_10_24,joy
150,matthew_14_7,neutral
151,exodus_12_27,joy
152,1_kings_1_39,joy
153,john_3_3,neutral
154,job_6_30,anger
155,philippians_2_7,joy
156,john_5_3,sadness
157,1_kings_15_21,neutral
158,hebrews_9_17,neutral
159,ezekiel_16_39,disgust
160,ezekiel_24_26,surprise
161,lamentations_4_11,anger
162,jeremiah_38_25,fear
163,genesis_37_3,joy
164,job_30_19,sadness
165,esther_2_5,neutral
166,job_24_9,sadness
167,2_chronicles_25_17,neutral
168,1_chronicles_6_76,neutral
169,jeremiah_46_18,anger
170,ecclesiastes_7_24,sadness
171,jeremiah_24_9,anger
172,1_chronicles_28_5,joy
173,deuteronomy_11_18,neutral
174,2_kings_8_11,sadness
175,leviticus_27_10,neutral
176,matthew_14_31,fear
177,mark_8_23,joy
178,daniel_4_28,neutral
179,exodus_10_25,neutral
180,2_samuel_17_2,fear
181,ezekiel_44_26,neutral
182,job_6_15,sadness
183,acts_12_11,joy
184,luke_11_22,anger
185,2_chronicles_3_16,neutral
186,joshua_15_48,neutral
187,exodus_26_5,neutral
188,isaiah_51_12,joy
189,ezekiel_10_17,surprise
190,daniel_5_20,disgust
191,jeremiah_38_28,sadness
192,numbers_33_34,neutral
